date,close,volume,open,high,low
9/18/17,158.67,28157630,160.11,160.5,157.995
9/15/17,159.88,48846060,158.47,160.97,158
9/14/17,158.28,23637310,158.99,159.4,158.09
9/13/17,159.65,44866280,159.87,159.96,157.91
9/12/17,160.86,71574560,162.61,163.96,158.77
9/11/17,161.5,31506890,160.5,162.05,159.89
9/8/17,158.63,28411740,160.86,161.15,158.53
9/7/17,161.26,21905160,162.09,162.24,160.36
9/6/17,161.91,21610300,162.71,162.99,160.52
9/5/17,162.08,29491910,163.75,164.25,160.56
9/1/17,164.05,16564340,164.8,164.94,163.63
8/31/17,164,26729940,163.64,164.52,163.48
8/30/17,163.35,27215770,163.8,163.89,162.61
8/29/17,162.91,29451050,160.1,163.12,160
8/28/17,161.47,25649890,160.14,162,159.93
8/25/17,159.86,25184600,159.65,160.56,159.27
8/24/17,159.27,19782170,160.43,160.74,158.55
8/23/17,159.98,19376940,159.07,160.47,158.88
8/22/17,159.78,21564890,158.23,160,158.02
8/21/17,157.21,26330070,157.5,157.89,155.1101
8/18/17,157.5,27391950,157.86,159.5,156.72
8/17/17,157.86,27377960,160.52,160.71,157.84
8/16/17,160.95,27607370,161.94,162.51,160.15
8/15/17,161.6,29377630,160.66,162.195,160.14
8/14/17,159.85,22074760,159.32,160.21,158.75
8/11/17,157.48,26208970,156.6,158.5728,156.07
8/10/17,155.32,39636190,159.9,160,154.63
8/9/17,161.06,26060430,159.26,161.27,159.11
8/8/17,160.08,36127490,158.6,161.83,158.27
8/7/17,158.81,21827400,157.06,158.92,156.6701
8/4/17,156.39,20514810,156.07,157.4,155.69
8/3/17,155.57,26604140,157.05,157.21,155.02
8/2/17,157.14,69726440,159.28,159.75,156.16
8/1/17,150.05,33669020,149.1,150.22,148.41
7/31/17,148.73,19690420,149.9,150.33,148.13
7/28/17,149.5,17192770,149.89,150.23,149.19
7/27/17,150.56,32429770,153.75,153.99,147.3
7/26/17,153.46,15649120,153.35,153.93,153.06
7/25/17,152.74,18798250,151.8,153.84,151.8
7/24/17,152.09,21466370,150.58,152.44,149.9
7/21/17,150.27,25111310,149.99,150.44,148.88
7/20/17,150.34,17170490,151.5,151.74,150.19
7/19/17,151.02,20859830,150.48,151.42,149.95
